text,label,source,clean_text,predicted_label,predicted_name,true_name,prob_Safe,prob_Offensive,prob_Hate Speech,confidence
"Fool 

So what it doesn't need to go there because i don't want administrators knowing that needs to be deleted.",0,jigsaw,fool so what it doesn't need to go there because i don't want administrators knowing that needs to be deleted.,1,Offensive,Safe,0.008988661,0.9842928,0.006718467,0.9842928
RT @rachael_goss: Who wants to chill on campus w me &amp; throw bibles at bitches taking the walk of shame&#10067;&#10068;,2,davidson,rt who wants to chill on campus w me & throw bibles at bitches taking the walk of shame red question mark white question mark,1,Offensive,Hate Speech,0.0029736045,0.9824671,0.01455926,0.9824671
@user He is NOT QUALIFIED.,1,olid,he is not qualified.,0,Safe,Offensive,0.98056215,0.0144487545,0.0049891286,0.98056215
"You take the grey skies out of my way
You make the sun shine brighter than Doris Day
Turned a bright spark into a flame
My beats per minute never been the same

'Cause you're my lady, I'm your fool
It makes me crazy when you act so cruel
Come on, baby, let's not fight
We'll go dancing, everything will be all right

Wake me up before you go-go 
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't want to miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin'' on going solo
Wake me up before you go-go
Take me dancing tonight
I wanna hit that high (yeah, yeah, baby)

(Jitterbug)
(Jitterbug)

Cuddle up, baby, move in tight
We'll go dancing tomorrow night
It's cold out there, but it's warm in bed
They can dance, we'll stay home instead

(Jitterbug)

Wake me up before you go-go 
Don't leave me hanging on like a yo-yo
Wake me up before you go-go
I don't want to miss it when you hit that high
Wake me up before you go-go
'Cause I'm not plannin' on going solo
Wake me up before you go-go
Take me dancing tonight
Wake me up before you go-go, don't you dare to leave me hanging on like a
yo-yo
Take me dancing

(Boom-boom-boom)

[Intro - T-Pain] 
Yeah... 
Uh-Huh... 
Yeah... 
Yeah... 

[Verse 1 - T-Pain] 
Broke up with my girl last night so I went to the club (so I went to the club) 
Put on a fresh white suit and a Minicoupe sitting on dubs (sitting on dubs) 
I'm just looking for somebody to talk to and show me some love (show me some love) 
If you know what I mean... (Uh-Huh)... 
Everybody jockin' me as soon as I stepped in the spot (I stepped in the spot) 
200 bitches and I bet aint none of them hot (aint none of them hot) 
'Cept for this pretty young thang that was workin' all the way at the top (all the way at the top) 
Shawty what is your name? 

[Hook 1 - T-Pain] 
Oooo she made us drinks, to drink 
We drunk 'em, Got drunk 
And then I think she thinks I'm cool 
She gave me a wink, I winked back 
And then I think that, we headed out something proper like... 

[Chorus - T-Pain] 
i like the bartender 
(Oooo If you're lookin' for me)im at the bar with her 
(Uh-huh, Ok) 
i like the bartender 
(Yeah if you're lookin' for me) 
I'm at the bar with her 
(Oooooh Uh-huh, Ok) 

[Verse 2 - T-Pain] 
Got a brand new girl so I'm feeling all good inside (all good inside) 
Feel like I put some brand new 24's on a brand new ride (on a brand new ride) 
Triple shot of patron on the rocks with a little bit a lime (with a little bit a lime) 
I'm just keeping it real (Uh-huh) 
Baby still working at the club so I'm getting in free (so I'm getting in free) 
Wednesday night I'm on the list T-Pain plus 3 (T-Pain plus 3) 
Everytime I hit the spot baby girl taking care of me (taking care of me) 
How do you think I feel? 

[Hook 2 - T-Pain] 

Oooo she made us drinks, to drink 
We drunk 'em, Got drunk 
And now I know she thinks I'm cool 
She gave me a wink, I winked back 
And then I think that, we 'gon have fun at my spot tonight... 

[Chorus - T-Pain] 
i like the the bartender 
(Oooo If you're lookin' for me) 
I'm at the bar with her 
(Uh-huh, Ok) 
i like the bartender 
(Yeah if you're lookin' for me) 
I'm at the bar with her 
(Oooooh Uh-huh, Ok) 

[Verse 3 - Akon] 
Shorty I'm sure you heard that I rarly never come out (never come out) 
Unless I'm in the M6 doing tricks freeway burnt out (freeway burnt out) 
Got a passenger side that's empty wanting it to be your spot (be your spot) 
But you on my billboard we can act like the charts 'gon end up on top (end up on top) 
Don't smoke don't drink that's why I don't be by the bar baby (baby) 
Just lookin' at you from a distance looking like a god damn star baby (baby) 
So my girl don't see me T-Pain can I get those keys to the car? (those keys to the car?) 
'Bout to go and Bang Bang Boogie with my cutie and I'll see you tomar' (see you tomar') 

[Hook 3 - T-Pain, Akon] 
Oooo she made us drinks, to drink 
We drunk 'em, Got drunk 
And now I know she thinks I'm cool 
She gave me a wink, I winked back (Uh-huh) 
And then I think that, (Uh-huh) we 'gon have fun at my spot tonight... 

[Chorus - T-Pain] 
i like the bartender 
(Oooo If you're lookin' for me) 
I'm at the bar with her 
(Uh-huh, Ok) 
i like the bartender NEW",0,jigsaw,"you take the grey skies out of my way you make the sun shine brighter than doris day turned a bright spark into a flame my beats per minute never been the same 'cause you're my lady, i'm your fool it makes me crazy when you act so cruel come on, baby, let's not fight we'll go dancing, everything will be all right wake me up before you go-go don't leave me hanging on like a yo-yo wake me up before you go-go i don't want to miss it when you hit that high wake me up before you go-go 'cause i'm not plannin'' on going solo wake me up before you go-go take me dancing tonight i wanna hit that high (yeah, yeah, baby) (jitterbug) (jitterbug) cuddle up, baby, move in tight we'll go dancing tomorrow night it's cold out there, but it's warm in bed they can dance, we'll stay home instead (jitterbug) wake me up before you go-go don't leave me hanging on like a yo-yo wake me up before you go-go i don't want to miss it when you hit that high wake me up before you go-go 'cause i'm not plannin' on going solo wake me up before you go-go take me dancing tonight wake me up before you go-go, don't you dare to leave me hanging on like a yo-yo take me dancing (boom-boom-boom) [intro - t-pain] yeah.. uh-huh.. yeah.. yeah.. [verse 1 - t-pain] broke up with my girl last night so i went to the club (so i went to the club) put on a fresh white suit and a minicoupe sitting on dubs (sitting on dubs) i'm just looking for somebody to talk to and show me some love (show me some love) if you know what i mean.. (uh-huh).. everybody jockin' me as soon as i stepped in the spot (i stepped in the spot) 200 bitches and i bet aint none of them hot (aint none of them hot) 'cept for this pretty young thang that was workin' all the way at the top (all the way at the top) shawty what is your name? [hook 1 - t-pain] ooo she made us drinks, to drink we drunk 'em, got drunk and then i think she thinks i'm cool she gave me a wink, i winked back and then i think that, we headed out something proper like.. [chorus - t-pain] i like the bartender (ooo if you're lookin' for me)im at the bar with her (uh-huh, ok) i like the bartender (yeah if you're lookin' for me) i'm at the bar with her (oooh uh-huh, ok) [verse 2 - t-pain] got a brand new girl so i'm feeling all good inside (all good inside) feel like i put some brand new 24's on a brand new ride (on a brand new ride) triple shot of patron on the rocks with a little bit a lime (with a little bit a lime) i'm just keeping it real (uh-huh) baby still working at the club so i'm getting in free (so i'm getting in free) wednesday night i'm on the list t-pain plus 3 (t-pain plus 3) everytime i hit the spot baby girl taking care of me (taking care of me) how do you think i feel? [hook 2 - t-pain] ooo she made us drinks, to drink we drunk 'em, got drunk and now i know she thinks i'm cool she gave me a wink, i winked back and then i think that, we 'gon have fun at my spot tonight.. [chorus - t-pain] i like the the bartender (ooo if you're lookin' for me) i'm at the bar with her (uh-huh, ok) i like the bartender (yeah if you're lookin' for me) i'm at the bar with her (oooh uh-huh, ok) [verse 3 - akon] shorty i'm sure you heard that i rarly never come out (never come out) unless i'm in the m6 doing tricks freeway burnt out (freeway burnt out) got a passenger side that's empty wanting it to be your spot (be your spot) but you on my billboard we can act like the charts 'gon end up on top (end up on top) don't smoke don't drink that's why i don't be by the bar baby (baby) just lookin' at you from a distance looking like a god damn star baby (baby) so my girl don't see me t-pain can i get those keys to the car? (those keys to the car?) 'bout to go and bang bang boogie with my cutie and i'll see you tomar' (see you tomar') [hook 3 - t-pain, akon] ooo she made us drinks, to drink we drunk 'em, got drunk and now i know she thinks i'm cool she gave me a wink, i winked back (uh-huh) and then i think that, (uh-huh) we 'gon have fun at my spot tonight.. [chorus - t-pain] i like the bartender (ooo if you're lookin' for me) i'm at the bar with her (uh-huh, ok) i like the bartender new",1,Offensive,Safe,0.0064392104,0.9804387,0.0131220715,0.9804387
@user never trusted his ass,0,olid,never trusted his ass,1,Offensive,Safe,0.0036127896,0.97910017,0.017287023,0.97910017
Lmao RT @MoeMartin44 Yo a cooned out nigger boy,1,davidson,lmao rt yo a cooned out nigger boy,2,Hate Speech,Offensive,0.0053124237,0.016745627,0.97794193,0.97794193
"I did not object to abortion only the intellectual dishonesty associated with saying the developing baby is not human.  Of course it is human, but it is also convenient to extinguish it.  Convenience wins.  There is nothing more to say.",1,civil_comments,"i did not object to abortion only the intellectual dishonesty associated with saying the developing baby is not human. of course it is human, but it is also convenient to extinguish it. convenience wins. there is nothing more to say.",0,Safe,Offensive,0.97777575,0.019952854,0.0022713877,0.97777575
"""

 Thanxs for the support! 

Thank you for supporting the pic I nominated.  One thing though...I'm kind of befuddled regarding the stated age on your user page.  Your 17, but in med school?!?  Wow, do I feel stupid!   Cont@ct  =D""",0,jigsaw,""" thanxs for the support! thank you for supporting the pic i nominated. one thing though..i'm kind of befuddled regarding the stated age on your user page. your 17, but in med school?!? wow, do i feel stupid! cont =d""",1,Offensive,Safe,0.0059753903,0.9773232,0.016701438,0.9773232
it a nigger school,1,hatexplain,it a nigger school,2,Hate Speech,Offensive,0.0053188014,0.017994635,0.9766866,0.9766866
with each passing day i am coming more and more to the conclusion that women are some kinda nigger variant,1,hatexplain,with each passing day i am coming more and more to the conclusion that women are some kinda nigger variant,2,Hate Speech,Offensive,0.0068208496,0.01794723,0.97523195,0.97523195
just a friendly correction he a half white pos moslem commy,1,hatexplain,just a friendly correction he a half white pos moslem commy,2,Hate Speech,Offensive,0.0052999877,0.019550271,0.9751498,0.9751498
"LOLOLOL this IS the process, they are following the constitution. They are doing nothing different than liberal democrats, but once again liberal democrats lecture to do as they say, not as they do, and why we should never underestimate the staggering hypocrisy of liberal political bigots.",1,civil_comments,"lololol this is the process, they are following the constitution. they are doing nothing different than liberal democrats, but once again liberal democrats lecture to do as they say, not as they do, and why we should never underestimate the staggering hypocrisy of liberal political bigots.",0,Safe,Offensive,0.9738046,0.024157554,0.0020377995,0.9738046
"""

 TO ALL READERS 

In """"administration"""" here are siting only polish chauvinistes (nazis). The pages about Lithuania and Vilnius are one entire falsification. They erase all corrections which are unpleasure to their fascist mind. I can't understand this system. But we strike out what to do.

Vilnietis""",1,jigsaw,""" to all readers in """"administration"""" here are siting only polish chauvinistes (nazis). the pages about lithuania and vilnius are one entire falsification. they erase all corrections which are unpleasure to their fascist mind. i can't understand this system. but we strike out what to do. vilnietis""",0,Safe,Offensive,0.9737071,0.023042392,0.0032505982,0.9737071
because he is he ruined his life to avenge a stupid crackwhore that sold her body to a fucking nigger for a fix not even worth a little pity neither of them,1,hatexplain,because he is he ruined his life to avenge a stupid crackwhore that sold her body to a fucking nigger for a fix not even worth a little pity neither of them,2,Hate Speech,Offensive,0.0049397717,0.021657554,0.9734027,0.9734027
i want a truth and no reconciliation these fuckers who have done this to our lands must confess that they lied to shitskins and flooded our lands to destroy shitskins must be told the truth we knew you would fuck shit up so we sent you into white lands,1,hatexplain,i want a truth and no reconciliation these fuckers who have done this to our lands must confess that they lied to shitskins and flooded our lands to destroy shitskins must be told the truth we knew you would fuck shit up so we sent you into white lands,2,Hate Speech,Offensive,0.0051584165,0.022759583,0.972082,0.972082
how to make a libtard do major reeage i just bought a nigger for <money> autistic screeching i am playing football manager you dullard liberal,1,hatexplain,how to make a libtard do major reeage i just bought a nigger for autistic screeching i am playing football manager you dullard liberal,2,Hate Speech,Offensive,0.0044377777,0.02372483,0.9718374,0.9718374
"""

 Hey donkey 

Hey donkey, your Dad is coming.  — Preceding unsigned comment added by 117.196.229.56   

 Enjoying the creepy messages? 

Enjoying all these creepy messages son?  — Preceding unsigned comment added by 117.196.229.56   """,1,jigsaw,""" hey donkey hey donkey, your dad is coming. — preceding unsigned comment added by 117.196.229.56 enjoying the creepy messages? enjoying all these creepy messages son? — preceding unsigned comment added by 117.196.229.56 """,0,Safe,Offensive,0.9714864,0.025952835,0.0025607767,0.9714864
"""

Evils of Atheism

It's about damn time somebody taught atheists their own medicine, and before you ask, I do not generalize, I think there's a cultural distinction between atheism and nonbelievers. Atheists tend to be enraged over religion of any kind, and spend a lot of time elevating Darwin and bemoaning the Crusades. Nonbelievers in general - say, someone who's raised a Christian, believes the Bible is an allegory, and only attends church for a funeral or perhaps at Christmastime - tend to adopt a """"Whatever gets you through the night"""" philosophy and be quiet on matters of faith. It's sort of like the difference between a devout vegetarian and someone who hates the taste of meat. Atheists are proud of their hate. It is something that they love devoutly and use it to hate christians.""",2,jigsaw,""" evils of atheism it's about damn time somebody taught atheists their own medicine, and before you ask, i do not generalize, i think there's a cultural distinction between atheism and nonbelievers. atheists tend to be enraged over religion of any kind, and spend a lot of time elevating darwin and bemoaning the crusades. nonbelievers in general - say, someone who's raised a christian, believes the bible is an allegory, and only attends church for a funeral or perhaps at christmastime - tend to adopt a """"whatever gets you through the night"""" philosophy and be quiet on matters of faith. it's sort of like the difference between a devout vegetarian and someone who hates the taste of meat. atheists are proud of their hate. it is something that they love devoutly and use it to hate christians.""",1,Offensive,Hate Speech,0.017600106,0.97071135,0.011688585,0.97071135
@user @user @user @user Everyone has a life story - that is no excuse for being aggressive. If anyone is to blame it is the producer for inviting KW onto the show. She is clearly not well &amp; shouldn’t have been put in a position where that could happen. Her management should not have allowed it either!,1,olid,everyone has a life story - that is no excuse for being aggressive. if anyone is to blame it is the producer for inviting kw onto the show. she is clearly not well & shouldn’t have been put in a position where that could happen. her management should not have allowed it either!,0,Safe,Offensive,0.97030354,0.02787039,0.0018261131,0.97030354
I been in this hospital since 6 I'm just tryna stay awake for 2more hrs then I can sip this D'usse and party with the rest of the coons,1,davidson,i been in this hospital since 6 i'm just tryna stay awake for 2more hrs then i can sip this d'usse and party with the rest of the coons,2,Hate Speech,Offensive,0.008438899,0.022262242,0.96929884,0.96929884
uggh when a sandnigger sprays food with poop at least u know the poop is fresh uk muslim who sprayed food with poop pee will not be deported,1,hatexplain,uggh when a sandnigger sprays food with poop at least u know the poop is fresh uk muslim who sprayed food with poop pee will not be deported,2,Hate Speech,Offensive,0.006311621,0.02469015,0.96899825,0.96899825
fucking nigger me up the asshole with a hotrod nigga,1,hatexplain,fucking nigger me up the asshole with a hotrod nigga,2,Hate Speech,Offensive,0.0060499404,0.025215207,0.9687348,0.9687348
"So called, and what about you, A shill for your left wing POV.",0,jigsaw,"so called, and what about you, a shill for your left wing pov.",1,Offensive,Safe,0.016991982,0.9684123,0.014595761,0.9684123
"Jason admitted you're a stuck up bitch lol, which you are. Think you're so much better than everycunt, naaaaa",2,davidson,"jason admitted you're a stuck up bitch lol, which you are. think you're so much better than everycunt, naa",1,Offensive,Hate Speech,0.002322562,0.96827847,0.02939902,0.96827847
a white man tired to slide the phase i was the nigger when describing his up bringing in japan tonight at dinner white privilege continues to be heavy people have such low level of compassion no one is hiding their racism anymore,0,hatexplain,a white man tired to slide the phase i was the nigger when describing his up bringing in japan tonight at dinner white privilege continues to be heavy people have such low level of compassion no one is hiding their racism anymore,2,Hate Speech,Safe,0.009377753,0.022402063,0.9682201,0.9682201
<user> disgusting evil mooslim will be calling uncle tommy,1,hatexplain,disgusting evil mooslim will be calling uncle tommy,2,Hate Speech,Offensive,0.0052582296,0.027124206,0.96761763,0.96761763
"Pantera - 5 Minutes Alone http://t.co/SrN5Yc16 @chrisrock 5 minutes, pussy boy..I'll crush you.",2,davidson,"pantera - 5 minutes alone 5 minutes, pussy boy..i'll crush you.",1,Offensive,Hate Speech,0.0032590234,0.96750647,0.029234469,0.96750647
"@QueChele u know how Hispanics be takin All the jobs these niggers won't? Yeah, somethin like a hispanic",1,davidson,"u know how hispanics be takin all the jobs these niggers won't? yeah, somethin like a hispanic",2,Hate Speech,Offensive,0.006513662,0.027588647,0.9658977,0.9658977
this page smells very bad,1,jigsaw,this page smells very bad,0,Safe,Offensive,0.96529907,0.025679395,0.009021613,0.96529907
@McwilliamsBrett shut your legs hoe,2,davidson,shut your legs hoe,1,Offensive,Hate Speech,0.002643698,0.96238494,0.034971308,0.96238494
"Our gay leader 

Yamla, Gay niggers of saturn and jupiter are hailing your name and your wide butt the size of the city of paris",1,jigsaw,"our gay leader yamla, gay niggers of saturn and jupiter are hailing your name and your wide butt the size of the city of paris",2,Hate Speech,Offensive,0.006737582,0.031833846,0.9614285,0.9614285
"February 2006 (UTC))

YOU ask for the IP check you made this comment

It's confusing. Apparently, User:Victory Army created user User:Victory Day and then created Victory Day's user page. So you have to look at Victory Army to see the contribs. More evidence it's Deng...plus the broken English. Woohookitty(cat scratches) 05:15, 19 February 2006 (UTC

You believe it is me but I know it is not me this is all bullshit and a clear attack on me!

You check the ip you ask them to check so that you will know that it is not me because if I check the ip If I ask you wont ofcurse believe me.

Also do not forget to ask for everyones ip not only mine and victory but everyone, andI ofcurse am also checking and will ofcurse ask them to check yours as well

And it is highly important to ask what country the ips of all involed are from.

( 18:53, 23",0,jigsaw,"february 2006 (utc)) you ask for the ip check you made this comment it's confusing. apparently, uservictory army created user uservictory day and then created victory day's user page. so you have to look at victory army to see the contribs. more evidence it's deng..plus the broken english. woohookitty(cat scratches) 0515, 19 february 2006 (utc you believe it is me but i know it is not me this is all bullshit and a clear attack on me! you check the ip you ask them to check so that you will know that it is not me because if i check the ip if i ask you wont ofcurse believe me. also do not forget to ask for everyones ip not only mine and victory but everyone, andi ofcurse am also checking and will ofcurse ask them to check yours as well and it is highly important to ask what country the ips of all involed are from. ( 1853, 23",1,Offensive,Safe,0.03358623,0.9604532,0.005960638,0.9604532
do they have a lot of trannies over there i did not realize that oh well it nice to see fags btfo i can always agree with that which shitskin country has the entire class of gay eunuchs that live on the streets is it india i think it india,1,hatexplain,do they have a lot of trannies over there i did not realize that oh well it nice to see fags btfo i can always agree with that which shitskin country has the entire class of gay eunuchs that live on the streets is it india i think it india,2,Hate Speech,Offensive,0.005926498,0.034092385,0.95998114,0.95998114
"Hitler, you have no knowledge of anything related to the topic. Why would I add a source to a type of list that does not need one, just like plenty of other lists on here? Something either belongs or doesn't, and anything I added there you can easily see belongs just by clicking on that entry. So it'd be great if you could stop being a Nazi, stop being stupid and stop being lazy and just click on the damn name.",2,jigsaw,"hitler, you have no knowledge of anything related to the topic. why would i add a source to a type of list that does not need one, just like plenty of other lists on here? something either belongs or doesn't, and anything i added there you can easily see belongs just by clicking on that entry. so it'd be great if you could stop being a nazi, stop being stupid and stop being lazy and just click on the damn name.",1,Offensive,Hate Speech,0.015269268,0.9595623,0.02516843,0.9595623
@rbigwood when Hollywood Underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,0,davidson,when hollywood underwood took his shirt off and started screaming in the dark hah like a horror movie with the nips!,1,Offensive,Safe,0.015645465,0.9591713,0.025183272,0.9591713
