text,label,source
""" you dodge a bullet "" grinning face with sweat "" ""all da bitches i cut off pregnant or bound to be ..thank god folded hands """"",1,davidson
""" young pill chamberlain these bitches love my music """,1,davidson
""" face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy teanna trump probably cleaner than most of these twitter hoes but..""",1,davidson
""" face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy face with tears of joy gay niggas couldn't wait to act like bitches tonight""",1,davidson
""" face with tears of joy face with tears of joy face with tears of joy and ima steal his cat n replace it with a pitbull face with tears of joy face with tears of joy face with tears of joy face with tears of joy rt he a bitch you should do it""",1,davidson
"""& he's gone always be a hoe""",1,davidson
"""..son of a bitch took my tic tacs.""i like this movie.",1,davidson
"""..all i wanna do is get money and fuck model bitches!"" - russell simmons",1,davidson
""" i probably wouldn't mind school as much if we didn't have to deal with bitch ass teachers"". retweet",1,davidson
""" i'm a fucking fag they said""",1,davidson
""" females think dating a pussy is cute now? how does doing this stuff make him a pussy?",1,davidson
""" -simplyaddictedtoguys woof woof hot scally lad",0,davidson
""" have ya ever asked your bitch for other bitches - kanye voice"" yes",1,davidson
""" how u gone bring ur side bitch to a game where you know ya gf friends at ?! weary face weary face weary face weary face "" i swear!!",1,davidson
""" woof woof and hot soles",0,davidson
""" lemmie eat a oreo & do these dishes."" one oreo? lol",0,davidson
""" bitch fuck u maybe you'll get better. just",1,davidson
""" fuck red malone man bitch ass niggah"" could you please use complete sentences?",1,davidson
""" why the eggplant emoji doe?""y he say she looked like scream lmao",0,davidson
""" hennessey venom gt see-no-evil monkey that's one sexy bitch",1,davidson
""" him seh me pussy wetter then a shower curtain..ahmesehwetness""<lmao!!",1,davidson
""" eaglesnation and every eagles need to see that pic i just posted because that bitch just said the most racist shit""",1,davidson
""" yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life",1,davidson
""" baby monkey bathtime awwe! this is soo adorable!",0,davidson
""" face with tears of joy face with tears of joy face with tears of joy face with tears of joy i ain't shit ."" damn skippy lol",1,davidson
""" u ever kill a ant on the sidewalk and think damn what if that nigger was on his way to get some pussy""no bs must b >30%chance",1,davidson
""" 0 rings 0 mvps 0 bitches lol",1,davidson
""" ppl talk bad about the ghetto/hood .. but as a kid growing up, a nigger had funn !""",1,davidson
""" the facts on tattoos..tattoo he's a pussy with not tattooing them nipples",1,davidson
""" hundred points hundred points hundred points rt bitches be wanting to act like niggas so bad weary face weary face weary face that shit aint cutee"" but niggas act like bitches..",1,davidson
""" get worshiping bitch! woof woof",1,davidson
""" wow. rt i'm lost. are those buttcheek piercings? yeah she's a hoe",1,davidson
""" ok, sis."" she'd rather be a broke bitch? shrugs she'll have to tell me how it works for her",1,davidson
""" queer"" gaywad",2,davidson
""" faggot read my tweets after dat k"" it wasn't even funny lol",1,davidson
""" this bitch was so ungrateful fr .. lulwhore",1,davidson
""" i been kidnapped yo bitch""",1,davidson
""" alsarabss"" hes a beaner smh you can tell hes a mexican",2,davidson
""" happy birthday nigs"" thanks yo",1,davidson
""" when ur teacher tells u that u have homework this bitch need to go!!",1,davidson
""" "" that nigger was eating that hoe lol"" hell yea lol john paul"" nigger said john paul..",1,davidson
""" what would y'all lil ugly bald headed bitches do if they stop making make-up & weave?""",1,davidson
""" leafs better win this damn game so i can go riot and shit early christmas"" you better start looting my nig",1,davidson
""" going back to school sucks more dick than the hoes who attend it.""",1,davidson
""" on my way to fuck yo bitch me as a 9 year old",1,davidson
""" how come you never bring me food"" i dont have a car retard",1,davidson
""" if richnow doesn't show up with hella tinder hoes im not his friend anymore"" chill i brought like like 8 prople",1,davidson
""" how bout them cowboys!!"" shutup pussy",1,davidson
""" lmaoo this nigger <bitch want likes for some depressing shit..foh",1,davidson
""" girl you know i was spitting that g shit to you & you was going lbvs""bitch plz",1,davidson
""" let me make a couple tweets off cuzzo page, so i won't get in twitter jail.""lmao bitch don't trick me again",1,davidson
""" harlem shake is just an excuse to go full retard for 30 seconds.""",1,davidson
""" amen miley folded hands but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh",1,davidson
""" having one loyal female is wayy better than having hoes , idc hundred points """,1,davidson
""" pussy licking pussy.. meow meow stop white people2014 cat face confused face",1,davidson
""" check out our 12th man. cowboys nation"" even with all those faggot ny fans in the stands",1,davidson
""" what happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch",1,davidson
""" im the bitch okay nudes pat sleepy face smirking face frog "" wow",1,davidson
""" you're fucking gay, blacklisted hoe"" holding out for teh god clan anyway",2,davidson
""" the fuck be wrong with these bitches?"" nobody knows",1,davidson
""" yall shut upp"" make me bitch",1,davidson
""" i hate a ""i'm pregnant"" type of bitch.""",1,davidson
""" got bitches in the dm but i don't ever read'em"" which is y your top 3",1,davidson
""" baseball season for the win. yankees"" this is where the love started",0,davidson
""" little stupid as bitch i don't fuck with yoouu..""",1,davidson
""" she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" lol",1,davidson
""" i'm an early bird and i'm a night owl, so i'm wise and have worms.""",0,davidson
""" overdosing on heavy drugs doesn't sound bad tonight."" i do that pussy shit every day.",0,davidson
""" pit bulls photographed as lovely fairy tale creatures they are fairy tale creatures.",0,davidson
""" aw."" ..fag, don't tweet ""aw"" to me lol",1,davidson
""" as long as the lakers trash from now on, i could careless. and that's real."". cc hahaha",0,davidson
""" i didn't say anything tho"" kiss me then faggot",1,davidson
""" this the ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut face with tears of joy yup",0,davidson
""" i could go for a fat ass bitch on my lap"" same",1,davidson
""" 17 missed calls!! angry face enraged face ""das yo p.o bitch twitter finna be screamn free money melle",1,davidson
""" ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao face with tears of joy face with tears of joy face with tears of joy face with tears of joy",1,davidson
""" "" 3 | amo los pies fuck yeah",1,davidson
""" these hoes be thinking meat won't slap they ass sleeping face waving hand "" ainna bruh",1,davidson
""" yall bitches wit no edges be doing the most talking weary face sleeping face raised hand "" face with tears of joy face with tears of joy face with tears of joy",1,davidson
""" yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit",1,davidson
""" i wanna have sex with my mom fuck her right in that pussy where i came from"" damn you got hacked like fuck",1,davidson
""" if she kiss u with her eyes open watch that bitch!""lmfao",1,davidson
""" you a woulda coulda shoulda ass hoe flushed face speak-no-evil monkey """,1,davidson
""" happy bday bitch ass nigger ""preciate that bitch roll up!",1,davidson
""" used to send that bitch up""",1,davidson
""" ugly bitches be like i'm my own wcw duh bitch you ain't nobody elses face with tears of joy face with tears of joy """,1,davidson
""" nigger you know we hacky sack hoes."" ..nah, i throw no look passes lmao",1,davidson
""" glad i'm getting outta atlanta. nothing but a bunch of niggas in & outta jail & dumb bitches with mad kids fuckin em.""",1,davidson
""" this isn't ghetto..it's smart i'm doing this idc",0,davidson
""" i would wife a hoe only cuz we wouldn't care that we cheating in each other."" ..why force the relationship in the first place?",1,davidson
""" being single isn't an excuse to be a hoe.""",1,davidson
""" white boy power bitch"" black power bitch",1,davidson
""" lets get drunk, get blowed, spit shit spark blunts & fuck hoes!"" bro white dudes have no chill.",1,davidson
""" bitch where u been"" around the world and back. where you been?",1,davidson
""" if i don't get my dick sucked at yo party by a bad bitch i'm fr gone set it off face with tears of joy face with tears of joy face with tears of joy face with tears of joy "" by",1,davidson
""" oomf is soo cute. but he probably has hoes on him a lot.""",1,davidson
""" in every cartoon theirs alway a saving these hoes lmao. lmao damn captain saveahoe",1,davidson
""" who wants to get there nose in these bad bois then scally chav sockfetish stinking hot sox and legs",0,davidson
""" i wish i was a bitch like my brother keezy unamused face "" oow i bet you do",1,davidson
""" if you dressed up as a cat for halloween you are basic."" ..or a pussy",1,davidson
""" can pornhub just get a gaming stream feature so these dumb bitches can gtfo"" get on it katie<3",1,davidson
""" stop being scared to choke her during sex u bitch ass niggas. she'll like it."". says the guy who hits women out of bed. foh",1,davidson
""" ha well iguess i make them hoes loyal bro"" theyll never be loyal that y they hoes my nig",1,davidson
""" oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" fixed",1,davidson
""" you're not a man if you refer to every girl as a bitch""",1,davidson
""" lmfao this cat started beating the shit out of me"" my nigger finally got some pussy?!? my nigger!!",1,davidson
""" peel up peel up bring it back up rewind back where i'm from they move shaq from the line"" oow who tf said that trash!!?",0,davidson
""" io io alu record ho vine sai pe hahahaha"" lol anywaays.. haha",1,davidson
""" naw it's my old tape. new cover . my upcoming mixtape is king of the hill"" yeah i'm waiting on that hoe mayne!",1,davidson
""" ol dirty foot ass bitches.."" this was too funny to me.",1,davidson
""" that's where i get my yellow flags for being amazing clapping hands relieved face "" hell yeah niggy",1,davidson
""" don't got time for bitches to be actin iffy.""",1,davidson
""" ucfpinkparty come on stay alive knights nation!!"" this is still the early bird special. come at me ut",0,davidson
""" these hoes ain't loyal ; no they ain't smfh & wonder why nobody decent wants them",1,davidson
""" bruh, you studs keep thinking i'm soft as hell. ask ya girl how many times she screamed she was my bitch. oh okay. stfu."" bye hoe!",1,davidson
""" dry pussy bitches always blame it on the condom face with tears of joy "" clapping hands face with tears of joy clapping hands face with tears of joy",1,davidson
""" shut yo bitch ass up! loudly crying face face with tears of joy",1,davidson
""" gucci mane in jail and dropping mixtapes every month and you hoes can't even text back""",1,davidson
""" you love these hoes more then money wats wrong these niggas""",1,davidson
""" a loyal bitch from the burbs without daddy issues is like finding a holographic mewtwo."" ..sounding like me over there lol",1,davidson
""" easy cum, easy hoe"" that's a fact !",1,davidson
""" charlie sheen is too real major fucking respect for charlie sheen.",1,davidson
""" wish i had a bae confused face ""you got all the hoes tho",1,davidson
""" fuck twerking bitch can you cook ?""",1,davidson
""" bitch wtf""",1,davidson
""" "" "" shut up zoe"" fight me pussy"" for zoe? i'm good, man."" you are good ma'am. move along now",1,davidson
""" lmao fucking snake bitches"" @ em",1,davidson
""" big booty hoes everywhere sheesh smiling face with heart-eyes "" damn herb eyes herb",1,davidson
""" stay tuned to for an update on the report that 1b will be out 8-10 weeks"" bum",0,davidson
""" "" ""i play soccer, cheat on girls, and wear khaki coloured cargos"" haircut yes lmfao""",0,davidson
""" oregon chokes every year get off the field trash ass program"" rft",1,davidson
""" def not cowboy lol rt terrell owens was the best eagle & cowboy ever"" ..dude cried like a bitch on tv, over romo",1,davidson
""" lmfaoo i hate black people this is why there's black people and niggers",2,davidson
""" how could u do this to me bitch"" potent",1,davidson
""" a pissed lad past out. i would lick his dirty soles while he slept.",0,davidson
""" love frat boy w/ soft long soles",0,davidson
""" sexy lad with hot soles and arches.",0,davidson
""" nah fam i gotta cheat with the hoes"" depends on the female i feel",1,davidson
""" clapping hands clapping hands clapping hands clapping hands raising hands "" i got hicks lol",0,davidson
""" this new twitter is confusing the shit out of me."" go back to south america bitch",1,davidson
""" toto means ass or vagina?""i think pussy cause toto santi is like nasty pussy",1,davidson
""" but what if he actually does choose the ugly bitch over you? ""her ass must be fat!",1,davidson
""" bitch couldn't kill my vibe if ya tried. rainbow rainbow rainbow "" dis why i love miley",1,davidson
""" i'm tired of bitches saying i look mean.. unamused face "" nigger you big af, wear tight shirts, and grim everybody.",1,davidson
""" 10 birds your grandkids may never see, thanks to climate change climate",0,davidson
""" ""stay beautiful you bitch""""",1,davidson
""" wut kindar purple. ceelee""man this gurl was jus playin on the ""stupid hoe "" track. but in still shitted on sum gurls",1,davidson
""" money getting taller and bitches getting blurry""",1,davidson
""" i ain't never seen a bitch so obsessed with they nigger face with tears of joy "" i'm obsessed with mine expressionless face",1,davidson
""" kobe stay talking trash. but let's not forget i meant to do this one. smh.",1,davidson
""" ""at least i'm not a nigger"" lmfao",2,davidson
""" people always asking me what i'm mixed with."" she a bad asian bitch lol",1,davidson
""" ariza is a snake and a coward"" but at least he isn't a cripple like your hero roach lmaoo",2,davidson
""" "" fosters home for imaginary trash"" whoa chill""that show was everything tf",0,davidson
""" i am lowkey tired."" ..if you tired, be quiet and go to sleep hoe!",1,davidson
""" "" stop bringing weird niggers into my mentions! """,1,davidson
""" we don't love these hoes open hands person gesturing no """,1,davidson
""" if yo girl cant have homeboys you a ol weak bitch ass nigger!""",1,davidson
""" i think worst advice i gave you was "" don't be a pussy and speed up"" lol""",1,davidson
""" quote this tweet with your favorite animal.""pussy",1,davidson
""" i hate when strippers tell you they're ""dancers"". hoe, ballet dancers don't pop their pussy to beethoven. you a stripper!""",1,davidson
""" andrewbryant poff has double vision after 2 beerspoff .. double pussy smiling face with sunglasses "" smh",1,davidson
""" when bitches twerk on the computer..me ""in ya bikini , in ya damn bikini !!""""",1,davidson
""" "" "" prince, this is art. nobody takin his bitch!",1,davidson
""" 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now.""",0,davidson
""" these bitches don't care they just play that role.""",1,davidson
""" it took a while for you to find me, but i was hiding in the lime tree."" dis bitch in da wrong tree bro.",1,davidson
""" drakes new shoes that will be released by nike/jordan.. yes, there's glitter on the shoes ..dudes a fag",2,davidson
""" inna di ghetto!!"" you alone lmaoo",0,davidson
""" "" hoes austin"" teach us austin.""i teach u how to get curved? that's all i know",0,davidson
""" bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!",1,davidson
""" fat hoes get chose"" lol",1,davidson
""" hoesaintloyal"" well they're hoes,no one expects them to be loyal",1,davidson
""" ol bitch ass""",1,davidson
""" bruh im tired of niggas retweetin miley cyrus naked that bitch aint no types of bad"" lmaoo",1,davidson
""" just because tony romo at the mavs game dont mean he still not a bitch lmao.. fuk them cowgirls"" lol bitch fuck you",1,davidson
""" holy shit, freddie highmore was in charlie and the chocolate factory""me rolls on the floor, laughing",1,davidson
""" ""i don't want to have sex with my gf because i feel like i'm using her.."" - anonymous"" whata faggot",1,davidson
""" @ one of your followers with this smiling face with heart-eyes weary face @ somebody, bitch if you don't",1,davidson
""" if ya bitch always bitching clearly she care!"" or just an annoying bitch!",1,davidson
""" these catfish hoes thinkin they slick.. but niggas catching on relieved face """,1,davidson
""" can't worry about a bitch that ain't worried bout me"" real",1,davidson
""" side hoes are for insecure niggas that can't handle a real one.""",1,davidson
""" face with tears of joy face with tears of joy face with tears of joy face with tears of joy rt lmao! this bitch come scooting in the tent like she about to fuck some shit up!"" loudly crying face loudly crying face loudly crying face",1,davidson
""" my cousin said he share hoes with his brothers. he said sharing is caring and he love his brothers face with tears of joy """,1,davidson
""" i'm hungry but ionn wanna spend my money on food unamused face ""broke hoe problems face with tears of joy face with tears of joy face with tears of joy skull",1,davidson
""" dese hoes be lyin to all of us nigger""",1,davidson
""" oh yeah fuck that bitch",1,davidson
""" eli manning just threw his nfl-leading 27th interception of the season."" lmao trash",0,davidson
""" usc senior rb anthony brown calls head coach steve sarkisian a racist and quits team. "" he's a bitch",0,davidson
""" guess what? i also have zero time for your mansplaining! adios!"" stfu pussy",1,davidson
""" chilling tongue tm sexy scally lad",0,davidson
""" i ain't sharing no bitch if you mines you mines hundred points """,1,davidson
""" money only impress the simple broke bitches""",1,davidson
""" pisces will never be anybody's bitch, they don't let people control or change them."" rigghht",1,davidson
""" tuku ho idk blah blah blah"" face with tears of joy face with tears of joy face with tears of joy",0,davidson
""" i'm not mad cuh hahaha"" suure.. tuku ho ita! face with tears of joy face with tears of joy",0,davidson
""" these hoes is crazy""",1,davidson
""" you ain't ever gonna be a slice bitch."" kevin hart. (",1,davidson
""" oomf so fuckin fine tho weary face dam"" @ her, don't be no bitch.",1,davidson
""" i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags",1,davidson
""" new sat questionsyeah bitch, yeah bitch, call me a.) maybeb.) steve-oc.) laterd.) jesse pinkman""",1,davidson
""" hickies in between her thighs right by her pussy >>"" its only right",1,davidson
""" would you still love me when i'm no longer young and beautiful?"" no. ugly monkey ass.",1,davidson
""" y'all come through the front.""bitch i ain't coming",1,davidson
""" faggot bitch""",1,davidson
""" yea, i'm on my ipad. i don't work this friday. let's ball this faggot up ""i work 2-5",1,davidson
""" this scally lad would get it",0,davidson
""" gerrys halloween party halloween was yesterday stupid nigger",2,davidson
""" chrus still supahot tho"" walks up to teacher with test, drops test in that bitch fohead",1,davidson
""" "" i love eating pussy lol i never get full lol"" i can eat that shit forever lol"" and ever.",1,davidson
""" "" "" "" no slushes sad but relieved face ""hoes nasty anyway fam"" sleeping face ""them hoes taste like meds"" grapes grapes baby bottle",1,davidson
""" "" no slushes sad but relieved face ""hoes nasty anyway fam"" sleeping face",1,davidson
""" bobby bitch-by be getting me live as fuck"" hell yea i play that hoe before my workout",1,davidson
""" yo bitch is gucci mane rt my bitch a stoner hundred points hundred points",1,davidson
""" i can ride your bitch with no handle bars""",1,davidson
""" and if you ain't a hoe get up out my traphoussee""",1,davidson
""" 15 sad tv character deaths we're still bitter over.. stark was the man",0,davidson
""" these harbor bitches are all ""party bus hoes"""" lol all?",1,davidson
""" pussy"" love it",1,davidson
""" ultraviolence video, its coming you little bitch! mtv hottest lana del rey bitchy promo",1,davidson
""" on my way to fuck your bitch lmfao kittycopter",1,davidson
""" a smuggler explains how he helped fighters along the ""jihadi highway""",0,davidson
""" "" aww their avis look so cute together couple with heart skull skull skull "" do i gotta get ike avi on this bitch ?",1,davidson
""" "" its simple, dont be a hoe=dont worry about being exposed winking face with tongue "" fight me""why ?",1,davidson
""" whys this bitch boosting herself her size isn't exactly the most healthy tho",1,davidson
""" bet not be no bitches! face with tears of joy open hands water pistol water pistol kitchen knife "" face with tears of joy face with tears of joy kim bye!!",1,davidson
""" damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. drive these bitches loco",1,davidson
""" i'm making marack my girlfriend ."" aye b you pullin hoes just like o taught you",1,davidson
""" bruno fag boy"" you love me.",1,davidson
""" "" i must be a bitch"" you are face with tears of joy face with tears of joy face with tears of joy sike naw"" this why we always beefing face with tears of joy",1,davidson
""" down 6-1, yankees look to rally in the bottom of the 9th."" rallycap",0,davidson
""" "" don't take advantage of a nice person""@ hoes""@ everyjuan",1,davidson
""" happy birthday bitch nigger "" thanks pal",1,davidson
""" sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday",1,davidson
""" cinco shit harder fucc nigger""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca",1,davidson
""" eww i said that last sunday..as in the last sunday i was there. read it again nigs"" flushed face flushed face flushed face flushed face flushed face",1,davidson
""" i only punch real niggas in the face cause a pussy nigger is gonna punch me right back"" strong mush or shake..",1,davidson
""" my pussy still fresh"" <-- something stank girls say.",1,davidson
""" ass slapping is one the greatest things. haha. smirking face "" i slapped a girl on the ass. . she got mad i aint get pussy for a week",1,davidson
""" yeah texans are so much better you fucking retard"" i see that you're mad about this.",1,davidson
""" nd wtf is up with dark bitches with blonde.. please have several seats hoe!"" ..looking like black&milds out here",1,davidson
""" there's a lane some bitches need to stay in smiling face with sunglasses "" the left n get right the fuck outta our face loudly crying face person tipping hand face blowing a kiss",1,davidson
""" i hate when boys deny that they have bitches open hands weary face "" smh",1,davidson
""" ya nigs out there still saying y'all don't eat butt?!"" with a straight face!",1,davidson
""" im a boss ass bitch"" ..that needs to sit in a corner",1,davidson
""" he's a hoe , i can't""",1,davidson
""" me and paul thinkin bout gettin rentals for da weekend sport utility vehicle dashing away dashing away ""ooh shit bitches betta stay out da streets",1,davidson
""" bitches hold they nigger down when he get locked up.. but if a nigger go to college or the military it's a different story. sleeping face """,1,davidson
""" why do my friends hate me"" because you a ratchet hoe..",1,davidson
""" no love for these fuck niggas"" hoes",1,davidson
""" hot meat sexy as fuck scally lad. i would love to meet him and his trainers.",1,davidson
""" sniff perved up scally lad. fuck yeah.",1,davidson
""" these bitches love sosa""",1,davidson
""" "" i legit watched it for about 30 or 40 seconds expressionless face ""so did i wtf"" prob cause were retarded smh",1,davidson
""" what should i name my cat, ideas?"" mr pussy",1,davidson
""" woof woof. sexy thug boy scally.",1,davidson
""" u see the damn phone ringing? persevering face unamused face disappointed face "" when you married bitches makes demands!! you haven't called me",1,davidson
""" tevin is my favorite sophomore i think he's so funny"" hes really not. lmaoo hes a little hoe",1,davidson
""" 10 sex positions this what u call fucking the soul outta bitch loudly crying face",1,davidson
""" is bored supposed to be cute, you faggot?"" sometimes",2,davidson
""" one mans trash litter in bin sign is another mans treasure trophy """,0,davidson
""" i don't got no type. bad bitches is the only thing i like"" iongotnotype",1,davidson
""" lassen cc , the coach wants me"" i feel it youll get more my nig no doubt",2,davidson
""" god teeth , gold chainwhite bitches , cocaine""",1,davidson
""" its me hoe, its me hoe person tipping hand "" shh",1,davidson
""" in d.c., we call them rollers, in chiraq we call them thots."" all across america they have been known as a hoe.",1,davidson
""" i'm gonna miss that bitch of a bus driver..""no you won't. don't lie",1,davidson
""" hate when bitches try and put you in the friendzone. bitch i'm tryin to score put me in the endzone fire fire fire "" on. my. soul!",1,davidson
""" ashley young has tried to deny that bird s landed in his mouth --> hahaha",0,davidson
""" yall both gimped up??"" ain't tht a bitch huh lol",1,davidson
""" "" take me for a ride smiling face with heart-eyes kiss mark woof woof",0,davidson
""" oh my god i love victoria mitchell"" all my bitches love me",1,davidson
""" that long distance shit wack i knew the bitch was cheating""- uh oh",1,davidson
""" he's doing it right smiling face with heart-eyes princess revolving hearts no bitches smh",1,davidson
""" they ban dat pussy for life & he gotta pay 2.5 millon dollar fine""",1,davidson
""" roses are red and violets are blue and niggers are black, you know that's true.""",1,davidson
""" sitting on my window sill, window open, bird tries to fly in. smacked it. protect the animals""",0,davidson
""" but a nigger gon be a nigger, be a nigger."" you sound fuckin retarded",1,davidson
""" a video an entire media will likely mock. i am such a crybaby",0,davidson
""" i'm not even shy stfu"" kikis mom hi angelique angelique smiles dips cracker in soup",1,davidson
""" tim tebow got cut from every team he was on in the nfl and he already got more hoes than me in starkville. smh."" face with tears of joy face with tears of joy face with tears of joy face with tears of joy",1,davidson
""" karma is a bitch damn god protects his angels raising hands ""sips tea",1,davidson
""" fuckin hot gym pussy fuck yeah",1,davidson
""" jihadi patron hajjaj al-ajmi is arrested at kuwait airport",0,davidson
""" you can call me fireman cause i turn the hoes on.""",1,davidson
""" i could never have a bby by a lil dick thts y i got a abortion by the last bitch""- oh my god",1,davidson
""" watch women try to argue with me like they have a dick and actually fucked some pussy before"" i hate when bitches do that",1,davidson
""" and smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?",1,davidson
""" tweety bird tho face with tears of joy face with tears of joy face with tears of joy face with tears of joy",0,davidson
""" my pussy sweet like watermelon thotermelon",1,davidson
""" when twitter rappers dm me their trash links",0,davidson
""" loud bitches annoy me""",1,davidson
""" eventually every bitch turns into that hoe."" # truu",1,davidson
""" "" "" i swear if oomf try talking to me tomorrow.."" @"" "" pussy",1,davidson
""" you bitches be pretending to be tf crazy.."" you ain't never lied..",1,davidson
""" k bye hoe"" um bye ..",1,davidson
""" jackies a retard blondeproblems"" at least i can make a grilled cheese!",2,davidson
""" ima keep on giving these pussy ass niggas ah reason to hate !""",1,davidson
""" photo he is in sole heaven",0,davidson
""" stacey dash won sweat droplets baddest bitch evaa",2,davidson
""" side bitch sunday face with tears of joy face with tears of joy face with tears of joy "" face with tears of joy face with tears of joy face with tears of joy",1,davidson
""" facts what baldheaded bitch made this shit. oncoming fist oncoming fist tired face unamused face lmao weary face face with tears of joy",1,davidson
""" fuck wit us and then we tweakin hoe"" shmurda!",1,davidson
""" we actin like it's the 7th day ghost spook",0,davidson
""" i'll break that lil bitch neck and won't even feel sorry about it"" savage",1,davidson
""" this is so fucking hot!! scally sneakersex sockfetish sniff trainersex love me some kinky scallies",1,davidson
""" y'all dumb ass niggas be so pressed to have hoes. y'all weak as fuck as fuck"" ..weed over hoes, oreos too.",1,davidson
""" i can turn yo bitch into a eaterr""",1,davidson
""" i don't trust dese hoes nikki told 51st where i stay at all my fans screen shot asap"" we finna come to chiraq and shoot sumn",1,davidson
""" "" aye yall ima tryout for the bowling team frfr"" tryouts passed tho"" no theres two more retard",1,davidson
""" now u got what u want bitch ! enjoy it now this is a crazy party i would love to attend.",1,davidson
""" colored contacts in your eyes?blinders on mine.cause i can't see you at all."" lmao",0,davidson
""" facts "" only the dudes with hoes say they don't got hoes""""",1,davidson
""" i'm rea start smacking bitches period !"" bluffin at its best",1,davidson
""" lifes a bitch, and then you die thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (",1,davidson
""" one of us is on drugs, and its me but you're still wrong face with tears of joy "" hahahahahahah im a bitch sometimes (",1,davidson
""" i'm feeling pretty fuckin ghetto"" smh",1,davidson
